N,estimator,d1_obs_chi,d1_exp_chi,d1_perc_bias,d1_perc_reject,d2_obs_chi,d2_exp_chi,d2_perc_bias,d2_perc_reject,d3_obs_chi,d3_exp_chi,d3_perc_bias,d3_perc_reject
100,ML,38.45,37.62,2,54.3,46.5,37.75,23,78.9,52.87,37.77,40,81.4
100,SB,39.63,37.65,5,57.9,37.63,33.99,11,49.1,38.1,30.85,24,47.1
100,ADF,52.04,33.74,54,80.3,60.88,29.68,105,86.3,81.31,27.29,198,95.3
200,ML,51.07,51.38,0,88.1,59.72,51.66,16,93.7,68.58,51.68,33,95.4
200,SB,51.65,51.44,0,89.9,47.04,44.09,7,82.4,44.66,37.77,18,78.9
200,ADF,50.17,43.59,15,85.6,47.93,35.42,36,84.8,47.16,30.61,54,75.2
500,ML,92.27,92.66,0,100,99.39,93.37,6,100,109.87,93.42,18,100
500,SB,92.52,92.8,0,100,75.04,74.4,1,100,63.46,58.52,8,97.2
500,ADF,76.89,73.11,5,100,60.1,52.63,14,99.5,53.67,40.58,32,96.7
1000,ML,161.46,161.35,0,100,171.07,162.88,5,100,180.9,162.98,11,100
1000,SB,161.66,161.74,0,100,126.23,124.89,2,100,101.25,93.11,9,100
1000,ADF,127.71,122.32,4,100,90.23,81.31,11,1130,76.1,57.2,33,100